"NLists" "NSppDetec"
"2928" 1 1
"2929" 4 2
"2931" 1 1
"2940" 1 1
"2941" 3 2
"2942" 1 1
"2951" 1 1
"2955" 3 1
"2956" 2 2
"2957" 6 3
"2963" 1 1
"2968" 2 1
"2969" 1 1
"2970" 2 2
"2971" 4 2
"2976" 1 1
"2977" 1 1
"2980" 3 3
"2981" 4 2
"2982" 8 2
"2984" 1 1
"2991" 1 1
"2994" 2 2
"2995" 5 2
"2996" 12 3
"2997" 1 1
"3004" 1 1
"3009" 1 1
"3010" 31 3
"3011" 4 3
"3022" 7 3
"3023" 3 1
"3024" 36 4
"3033" 2 2
"3036" 12 4
"3037" 30 3
"3038" 32 4
"3043" 1 1
"3050" 16 3
"3051" 53 4
"3052" 1 1
"3057" 3 2
"3062" 13 4
"3063" 40 4
"3064" 23 4
"3071" 1 1
"3073" 1 1
"3076" 32 4
"3077" 32 5
"3078" 9 3
"3088" 3 1
"3089" 2 2
"3090" 3 1
"3091" 24 3
"3092" 16 3
"3099" 2 2
"3102" 1 1
"3103" 2 1
"3104" 16 4
"3105" 7 3
"3106" 1 1
"3111" 1 1
"3116" 7 2
"3117" 4 2
"3118" 12 3
"3119" 16 4
"3120" 7 2
"3123" 1 1
"3131" 5 2
"3132" 2 1
"3133" 8 2
"3134" 14 3
"3139" 4 1
"3141" 1 1
"3142" 1 1
"3143" 1 1
"3145" 9 2
"3147" 1 1
"3148" 9 2
"3151" 2 1
"3156" 4 2
"3158" 1 1
"3159" 3 2
"3160" 1 1
"3161" 2 1
"3162" 1 1
"3163" 1 1
"3171" 7 3
"3172" 5 3
"3173" 1 1
"3175" 2 1
"3180" 1 1
"3182" 1 1
"3185" 4 2
"3186" 8 3
"3187" 1 1
"3188" 6 1
"3190" 1 1
"3191" 1 1
"3193" 2 2
"3197" 1 1
"3200" 1 1
"3202" 2 2
"3210" 1 1
"3211" 1 1
"3212" 2 2
"3213" 7 1
"3214" 4 3
"3222" 1 1
"3224" 3 3
"3226" 5 2
"3228" 1 1
"3229" 1 1
"3238" 1 1
"3239" 4 3
"3242" 1 1
"3243" 2 2
"3245" 1 1
"3253" 1 1
"3254" 1 1
"3256" 6 2
"3257" 1 1
"3258" 1 1
"3269" 1 1
"3270" 2 2
"3271" 1 1
"3272" 5 2
"3273" 1 1
"3286" 1 1
"3289" 1 1
"3307" 3 1
"3308" 1 1
"3309" 1 1
"3310" 4 2
"3311" 2 1
"3329" 1 1
"3332" 2 2
"3340" 1 1
"3350" 1 1
"3354" 1 1
"3356" 4 1
"3364" 1 1
"3379" 1 1
"3380" 2 2
"3404" 3 2
"3407" 3 1
"3426" 1 1
"3429" 1 1
"3431" 2 2
"3432" 1 1
"3434" 2 1
"3446" 1 1
"3460" 1 1
"3461" 2 2
"3471" 5 2
"3477" 6 1
"3488" 1 1
"3501" 1 1
"3509" 1 1
"3513" 6 1
"3515" 2 1
"3518" 1 1
"3538" 1 1
"3539" 1 1
"3540" 1 1
"3551" 8 3
"3554" 1 1
"3568" 1 1
"3573" 1 1
"3576" 2 2
"3581" 1 1
"3586" 1 1
"3602" 1 1
"3611" 1 1
"3614" 2 2
"3633" 1 1
"3641" 1 1
"3642" 1 1
"3643" 1 1
"3645" 3 3
"3668" 1 1
"3670" 2 2
"3671" 1 1
"3672" 1 1
"3675" 1 1
"3700" 1 1
"3701" 2 1
"3703" 1 1
"3707" 2 1
"3711" 2 1
"3713" 2 2
"3715" 1 1
"3716" 2 2
"3721" 1 1
"3734" 3 1
"3740" 1 1
"3748" 7 3
"3751" 2 2
"3752" 1 1
"3760" 1 1
"3769" 1 1
"3770" 1 1
"3771" 4 2
"3772" 2 2
"3779" 1 1
"3780" 3 3
"3784" 1 1
"3788" 3 2
"3791" 2 1
"3792" 1 1
"3810" 2 2
"3813" 1 1
"3816" 1 1
"3818" 3 2
"3821" 4 2
"3831" 1 1
"3841" 2 1
"3857" 1 1
"3858" 1 1
"3879" 1 1
"3882" 1 1
"3884" 4 2
"3894" 1 1
"3906" 1 1
"3912" 1 1
"3913" 2 1
"3915" 1 1
"3921" 2 2
"3924" 3 2
"3925" 2 1
"3944" 1 1
"3946" 2 1
"3947" 1 1
"3952" 1 1
"3953" 1 1
"3955" 1 1
"3956" 3 3
"3961" 1 1
"3964" 1 1
"3977" 1 1
"3982" 1 1
"3984" 1 1
"3987" 1 1
"3993" 1 1
"3994" 1 1
"3995" 2 2
"3997" 1 1
"3998" 2 1
"4011" 1 1
"4017" 1 1
"4020" 1 1
"4022" 1 1
"4024" 1 1
"4026" 3 1
