"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"6023" NA 0 NA NA NA NA NA NA NA NA NA NA
"6026" NA NA NA NA NA NA 0 NA NA NA NA NA
"6034" NA NA NA NA NA 0 NA NA 0 NA 0 NA
"6035" NA NA NA NA NA 0 NA 0 0 NA NA NA
"6036" NA NA NA NA 0 NA NA NA 0 NA 0 NA
"6037" NA NA NA NA NA NA NA NA 0 NA NA NA
"6089" NA NA NA NA NA NA NA 0 0 0 NA NA
"6090" NA NA NA NA 0 NA NA NA NA NA NA NA
"6098" NA NA NA NA NA 0 NA NA 1 NA NA NA
"6131" NA NA NA 0 NA NA 0 NA NA 0 0 NA
"6150" NA NA NA 0 NA NA NA NA NA NA NA NA
"6151" NA NA 0 NA NA NA NA NA NA NA NA NA
"6158" NA 0 NA NA NA NA NA NA NA NA NA NA
"6178" NA 0 NA NA NA NA NA NA NA NA NA NA
"6180" NA 0 NA NA NA NA NA NA NA NA NA NA
"6197" NA NA NA NA NA NA NA NA NA NA 0 NA
"6204" NA NA NA NA NA NA 0 NA NA NA NA NA
"6205" NA 0 NA NA NA NA NA NA NA NA NA NA
"6208" NA NA NA NA NA NA 0 NA NA NA NA NA
"6226" NA NA NA NA 0 NA NA NA NA NA NA NA
"6227" NA NA NA NA 0 NA NA NA NA NA NA NA
"6228" NA NA NA 0 NA NA 0 NA NA NA NA NA
"6239" NA NA NA NA NA NA NA 0 NA NA NA NA
"6241" 0 NA NA NA NA NA NA NA NA NA NA NA
"6242" 0 NA NA NA NA NA NA NA NA NA NA NA
"6243" NA 0 NA NA NA NA NA NA NA NA NA NA
"6246" NA 0 NA NA NA NA NA NA NA NA NA NA
"6247" NA NA NA NA NA NA NA NA NA NA NA 0
"6249" NA 0 NA NA NA NA NA NA NA NA NA NA
"6283" 0 NA NA NA NA NA NA NA NA NA NA NA
"6295" NA NA NA NA NA NA 0 NA NA NA NA NA
"6313" NA NA NA NA 0 NA NA NA NA NA NA NA
"6315" NA NA NA 0 NA NA NA NA NA NA NA NA
"6350" NA NA NA NA 0 NA NA NA NA NA NA NA
"6351" NA NA NA NA 0 NA NA NA NA NA NA NA
"6382" NA NA NA NA 0 NA NA NA NA NA NA NA
"6383" NA NA NA NA 0 NA NA NA NA NA NA NA
"6398" NA NA NA NA NA NA NA NA NA NA NA 0
"6400" NA NA NA 0 0 NA 0 0 NA 0 NA NA
"6416" NA NA NA 0 0 NA 0 NA NA NA NA NA
"6441" NA NA NA NA NA NA NA NA NA NA NA 0
"6444" NA NA NA NA NA NA 0 NA NA NA NA NA
"6453" NA NA NA NA NA NA NA NA NA NA NA 0
"6455" NA 0 NA NA NA NA NA NA NA NA NA NA
"6457" NA NA NA 0 0 NA 0 NA NA NA NA NA
"6467" NA NA NA NA 0 NA NA NA NA NA NA NA
"6472" NA NA NA NA NA 0 NA NA NA NA NA NA
"6480" NA NA NA 0 NA NA NA NA NA NA NA NA
"6491" NA NA NA NA 0 NA NA NA NA NA NA NA
"6493" NA NA NA NA NA NA 0 NA NA NA NA NA
"6497" NA 0 NA NA NA NA NA NA NA NA NA NA
"6508" NA NA NA NA NA NA 0 NA NA NA NA NA
"6509" NA NA NA NA 0 NA NA NA NA 0 NA NA
"6533" NA NA NA 0 0 NA 0 NA NA NA NA NA
"6534" NA NA NA NA 0 NA NA NA NA NA NA NA
"6535" NA NA NA 0 0 NA 0 NA NA 0 NA NA
"6547" NA 0 NA NA NA NA NA NA NA NA NA NA
"6563" NA NA NA NA 0 NA NA NA NA NA NA NA
"6564" NA NA NA 0 NA NA NA NA NA NA NA NA
"6565" NA NA NA 0 0 NA NA NA NA NA NA NA
"6592" NA NA NA NA 0 NA NA NA NA NA NA NA
"6597" NA NA NA 0 NA NA 0 NA NA 0 NA NA
"6631" NA NA NA 0 0 NA 0 NA NA NA NA NA
"6632" NA NA NA 0 NA NA NA NA NA 0 NA NA
"6666" NA NA NA NA 0 NA NA NA 0 NA NA NA
"6690" NA NA NA NA NA NA NA NA NA NA NA 0
"6734" NA NA NA NA NA 0 NA NA NA NA NA NA
"6742" NA NA NA NA NA NA NA NA NA NA NA 0
"6744" NA NA NA NA NA NA NA NA NA NA NA 0
"6782" NA 0 NA NA NA NA NA NA NA NA NA NA
"6784" NA NA NA NA NA NA NA NA NA 0 NA NA
"6821" NA NA NA NA 0 NA NA NA NA NA NA NA
"6824" NA NA NA 0 NA NA NA NA NA 0 NA NA
"6859" NA 0 NA NA 0 NA NA NA NA NA NA NA
