"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"11451" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11464" NA NA NA 0 NA NA NA NA NA NA NA NA
"11470" 0 0 NA NA NA NA NA NA NA NA NA NA
"11472" 0 0 0 0 NA NA NA NA NA NA NA NA
"11473" NA 0 NA 0 NA NA NA NA NA NA 0 0
"11475" NA NA NA 0 NA NA NA 0 NA NA NA NA
"11479" NA NA NA 0 NA NA NA NA NA NA NA NA
"11486" NA NA NA NA NA 0 0 0 NA 0 NA NA
"11487" NA NA NA NA 0 1 NA 0 NA 0 NA NA
"11488" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11504" NA NA NA 1 NA NA NA NA NA NA NA NA
"11507" 0 NA NA NA NA NA NA NA NA NA NA NA
"11509" NA 0 NA 0 NA NA NA NA NA NA 0 NA
"11510" NA 0 0 NA 0 NA NA NA NA NA 0 0
"11511" NA NA NA NA 1 NA NA NA NA NA NA NA
"11512" NA NA NA NA NA NA NA NA 0 NA NA NA
"11521" NA NA NA 0 NA NA NA NA NA NA NA NA
"11524" NA NA NA NA NA NA NA 1 0 NA NA NA
"11525" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11543" NA NA NA NA NA NA NA NA NA 0 NA NA
"11544" NA NA NA NA NA NA NA NA NA 0 NA NA
"11545" 0 NA NA NA NA NA NA NA NA NA 0 NA
"11546" NA NA NA NA NA NA NA NA NA NA NA 0
"11548" NA NA NA NA NA 0 NA NA NA NA NA NA
"11549" NA NA NA NA 1 NA NA NA NA NA NA NA
"11550" NA NA NA 0 NA NA NA NA NA NA NA NA
"11551" NA NA NA 1 NA NA NA NA NA NA NA NA
"11562" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11563" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11580" NA NA NA 1 NA NA NA NA NA NA NA NA
"11582" NA NA 0 NA NA NA NA NA NA NA NA NA
"11584" NA NA NA 0 NA NA NA NA NA NA NA NA
"11585" NA NA NA 1 NA NA NA NA NA NA NA NA
"11587" NA NA NA 0 NA NA NA NA NA NA NA NA
"11589" NA NA NA NA 1 NA NA NA 0 NA NA NA
"11590" NA NA NA 0 NA NA NA NA NA NA NA NA
"11600" 0 NA NA NA NA 0 NA NA NA NA NA NA
"11601" NA NA NA NA NA 0 0 NA NA NA NA NA
"11602" NA NA NA NA NA 0 NA 0 NA NA 0 NA
"11603" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11621" NA NA 0 NA NA NA NA NA NA NA NA NA
"11623" NA NA 0 1 NA NA NA NA NA NA NA NA
"11624" 0 NA NA NA NA NA NA NA NA NA NA NA
"11625" NA NA NA 1 NA NA NA NA NA NA NA 0
"11626" NA NA NA 1 NA NA NA NA NA NA NA 0
"11627" NA NA NA 1 NA NA NA NA NA NA NA NA
